time,temp *C,humidity %
276.61,23.57,43.61
277.65,23.54,43.64
278.70,23.57,43.65
279.74,23.52,43.64
280.78,23.59,43.64
281.83,23.54,43.64
282.87,23.57,43.67
283.91,23.55,43.66
284.96,23.57,43.62
286.00,23.57,43.65
287.05,23.55,43.66
288.09,23.58,43.66
289.13,23.57,43.68
290.18,23.59,43.66
291.22,23.57,43.70
292.26,23.58,43.70
293.31,23.55,43.66
294.35,23.58,43.67
295.39,23.58,43.67
296.44,23.58,43.68
297.48,23.58,43.69
298.52,23.57,43.68
299.57,23.58,43.69
300.61,23.57,43.68
301.66,23.55,43.68
302.70,23.55,43.72
303.74,23.57,43.75
304.79,23.59,43.70
305.83,23.58,43.71
306.87,23.59,43.72
307.92,23.59,43.69
308.96,23.61,43.75
310.00,23.61,43.73
311.05,23.59,43.72
312.09,23.59,43.72
313.14,23.61,43.77
314.18,23.61,43.74
315.22,23.61,43.76
316.27,23.62,43.73
317.31,23.59,43.77
318.35,23.62,43.75
319.40,23.61,43.76
320.44,23.61,43.75
321.48,23.62,43.78
322.53,23.63,43.76
323.57,23.62,43.77
324.62,23.61,43.80
325.66,23.62,43.76
326.70,23.62,43.76
327.75,23.61,43.79
328.79,23.63,43.81
329.83,23.62,43.79
330.88,23.62,43.80
331.92,23.63,43.81
332.96,23.65,43.79
334.01,23.65,43.79
335.05,23.65,43.81
336.10,23.66,43.83
337.14,23.65,43.81
338.18,23.68,43.82
339.23,23.66,43.80
340.27,23.66,43.81
341.31,23.66,43.82
342.36,23.66,43.86
343.40,23.69,43.82
344.44,23.68,43.86
345.49,23.70,43.84
346.53,23.69,43.85
347.58,23.68,43.83
348.62,23.69,43.86
349.66,23.68,43.84
350.71,23.69,43.90
351.75,23.72,43.87
352.79,23.69,43.84
353.84,23.72,43.89
354.88,23.72,43.85
355.92,23.72,43.85
356.97,23.73,43.88
358.01,23.73,43.87
359.06,23.73,43.87
360.10,23.73,43.90
361.14,23.75,43.90
362.19,23.75,43.92
363.23,23.76,43.90
364.27,23.75,43.89
365.32,23.73,43.93
366.36,23.75,43.91
367.40,23.75,43.96
368.45,23.75,43.93
369.49,23.78,43.93
370.53,23.78,43.92
371.58,23.79,43.95
372.62,23.80,43.92
373.67,23.78,43.94
374.71,23.79,43.96
375.75,23.80,43.93
376.80,23.80,43.92
377.84,23.82,43.96
378.88,23.83,43.94
379.93,23.83,43.97
380.97,23.82,43.97
382.01,23.85,43.98
383.06,23.85,43.98
384.10,23.86,43.99
385.15,23.85,43.96
386.19,23.85,43.98
387.23,23.88,44.00
388.28,23.85,44.02
389.32,23.86,43.98
390.36,23.86,44.02
391.41,23.88,44.03
392.45,23.88,44.02
393.49,23.86,44.04
394.54,23.86,44.01
395.58,23.86,44.06
396.62,23.88,44.02
397.67,23.88,44.02
398.71,23.89,44.06
399.76,23.89,44.03
400.80,23.89,44.07
401.84,23.90,44.04
402.89,23.89,44.07
403.93,23.89,44.06
404.97,23.89,44.05
406.02,23.92,44.07
407.06,23.90,44.04
408.10,23.89,44.11
409.15,23.90,44.09
410.19,23.88,44.07
411.24,23.90,44.09
412.28,23.90,44.13
413.32,23.90,44.09
414.37,23.93,44.05
415.41,23.93,44.12
416.45,23.92,44.09
417.50,23.92,44.13
418.54,23.93,44.14
419.59,23.90,44.14
420.63,23.95,44.16
421.67,23.93,44.14
422.72,23.93,44.16
423.76,23.96,44.15
424.80,23.93,44.18
425.85,23.95,44.21
426.89,23.93,44.18
427.93,23.95,44.19
428.98,23.93,44.20
430.02,23.96,44.22
431.07,23.93,44.20
432.11,23.97,44.27
433.15,23.97,44.22
434.20,23.95,44.20
435.24,23.97,44.23
436.28,23.96,44.24
437.33,23.97,44.24
438.37,23.99,44.28
439.41,23.97,44.24
440.46,23.99,44.27
441.50,23.96,44.26
442.54,23.99,44.30
443.59,23.99,44.30
444.63,23.97,44.34
445.68,23.97,44.30
446.72,23.97,44.32
447.76,24.00,44.34
448.81,24.00,44.34
449.85,23.97,44.33
450.89,24.00,44.33
451.94,23.99,44.36
452.98,23.99,44.30
454.02,24.02,44.35
455.07,24.02,44.36
456.11,24.03,44.40
457.16,24.00,44.40
458.20,23.99,44.39
459.24,24.00,44.40
460.29,24.02,44.41
461.33,24.00,44.39
462.37,24.02,44.42
463.42,24.00,44.41
464.46,24.00,44.41
465.50,24.03,44.41
466.55,24.00,44.47
467.59,24.02,44.47
468.63,24.02,44.48
469.68,24.03,44.46
470.72,24.03,44.48
471.77,24.00,44.50
472.81,24.03,44.50
473.85,24.02,44.51
474.90,24.05,44.53
475.94,24.05,44.54
476.98,24.03,44.54
478.03,24.03,44.54
479.07,24.03,44.56
480.11,24.05,44.57
481.16,24.03,44.57
482.20,24.03,44.57
483.25,24.03,44.56
484.29,24.05,44.58
485.33,24.05,44.55
486.38,24.05,44.57
487.42,24.05,44.62
488.46,24.05,44.61
489.51,24.05,44.63
490.55,24.05,44.62
491.59,24.05,44.67
492.64,24.03,44.64
493.68,24.06,44.66
494.73,24.03,44.68
495.77,24.06,44.67
496.81,24.03,44.70
497.86,24.05,44.66
498.90,24.06,44.67
499.94,24.06,44.72
500.99,24.07,44.69
502.03,24.07,44.75
503.07,24.05,44.73
504.12,24.07,44.73
505.16,24.05,44.74
506.21,24.06,44.75
507.25,24.07,44.77
508.29,24.07,44.78
509.34,24.07,44.76
510.38,24.06,44.79
511.42,24.07,44.79
512.47,24.05,44.77
513.51,24.06,44.80
514.55,24.07,44.79
515.60,24.10,44.84
516.64,24.07,44.84
517.68,24.07,44.86
518.73,24.09,44.84
519.77,24.06,44.88
520.82,24.07,44.83
521.86,24.09,44.86
522.90,24.10,44.88
523.95,24.12,44.91
524.99,24.10,44.90
526.03,24.09,44.89
527.08,24.09,44.92
528.12,24.10,44.93
529.16,24.09,44.91
530.21,24.10,44.92
531.25,24.10,44.91
532.30,24.10,44.96
533.34,24.12,44.93
534.38,24.10,44.97
535.43,24.10,44.94
536.47,24.09,45.00
537.51,24.12,45.01
538.56,24.10,44.98
539.60,24.12,45.01
540.64,24.12,45.00
541.69,24.12,45.05
542.73,24.10,45.02
543.77,24.12,45.06
544.82,24.12,45.05
545.86,24.10,45.08
546.91,24.12,45.09
547.95,24.12,45.06
548.99,24.12,45.11
550.04,24.10,45.10
551.08,24.12,45.11
552.12,24.14,45.11
553.17,24.13,45.13
554.21,24.13,45.15
555.25,24.13,45.11
556.30,24.12,45.13
557.34,24.14,45.16
558.39,24.14,45.15
559.43,24.13,45.16
560.47,24.14,45.19
561.52,24.13,45.21
562.56,24.13,45.23
563.60,24.14,45.23
564.65,24.13,45.24
565.69,24.14,45.22
566.73,24.14,45.23
567.78,24.14,45.27
568.82,24.14,45.26
569.87,24.13,45.23
570.91,24.13,45.28
571.95,24.14,45.29
573.00,24.14,45.29
574.04,24.16,45.26
575.08,24.17,45.29
576.13,24.14,45.28
577.17,24.16,45.33
578.21,24.14,45.33
579.26,24.19,45.35
580.30,24.16,45.34
581.35,24.17,45.38
582.39,24.14,45.37
583.43,24.16,45.37
584.48,24.16,45.39
585.52,24.16,45.39
586.56,24.14,45.39
587.61,24.16,45.44
588.65,24.16,45.42
589.69,24.17,45.44
590.74,24.19,45.43
591.78,24.17,45.48
592.83,24.17,45.46
593.87,24.19,45.50
594.91,24.17,45.51
595.96,24.17,45.55
597.00,24.17,45.52
598.04,24.20,45.50
599.09,24.19,45.52
600.13,24.20,45.55
601.17,24.17,45.59
602.22,24.17,45.60
603.26,24.20,45.56
604.31,24.20,45.63
605.35,24.17,45.63
606.39,24.17,45.68
607.44,24.20,45.66
608.48,24.17,45.70
609.52,24.20,45.67
610.57,24.20,45.66
611.61,24.17,45.71
612.65,24.19,45.71
613.70,24.21,45.68
614.74,24.20,45.72
615.78,24.19,45.74
616.83,24.19,45.73
617.87,24.20,45.76
618.92,24.21,45.77
619.96,24.21,45.77
621.00,24.19,45.80
622.05,24.19,45.77
623.09,24.21,45.82
624.13,24.23,45.82
625.18,24.19,45.84
626.22,24.20,45.83
627.26,24.21,45.86
628.31,24.23,45.90
629.35,24.20,45.87
630.40,24.24,45.93
631.44,24.21,45.92
632.48,24.21,45.91
633.53,24.20,45.93
634.57,24.21,45.94
635.61,24.23,45.95
636.66,24.24,45.94
637.70,24.23,45.95
638.74,24.23,45.98
639.79,24.24,46.01
640.83,24.23,45.97
641.87,24.23,46.04
642.92,24.24,46.10
643.96,24.23,46.08
645.01,24.26,46.08
646.05,24.26,46.12
647.09,24.23,46.11
648.14,24.24,46.12
649.18,24.23,46.13
650.22,24.21,46.17
651.27,24.24,46.17
652.31,24.24,46.14
653.36,24.24,46.17
654.40,24.23,46.20
655.44,24.24,46.20
656.49,24.24,46.25
657.53,24.23,46.24
658.57,24.26,46.22
659.62,24.24,46.25
660.66,24.27,46.27
661.70,24.24,46.26
662.75,24.27,46.32
663.79,24.28,46.33
664.84,24.27,46.35
665.88,24.28,46.31
666.92,24.26,46.35
667.97,24.27,46.37
669.01,24.27,46.36
670.05,24.28,46.40
671.10,24.28,46.40
672.14,24.27,46.43
673.18,24.28,46.43
674.23,24.27,46.45
675.27,24.28,46.48
676.32,24.28,46.47
677.36,24.27,46.49
678.40,24.30,46.52
679.45,24.30,46.56
680.49,24.30,46.58
681.53,24.30,46.59
682.58,24.30,46.59
683.62,24.30,46.54
684.66,24.31,46.61
685.71,24.31,46.62
686.75,24.33,46.65
687.79,24.33,46.69
688.84,24.31,46.69
689.88,24.33,46.71
690.93,24.31,46.73
691.97,24.33,46.71
693.01,24.34,46.78
694.06,24.33,46.80
695.10,24.33,46.80
696.14,24.33,46.85
697.19,24.33,46.85
698.23,24.33,46.88
699.27,24.31,46.88
700.32,24.30,46.90
701.36,24.31,46.91
702.41,24.30,46.94
703.45,24.31,46.94
704.49,24.34,46.98
705.54,24.31,47.01
706.58,24.31,47.01
707.62,24.31,47.04
708.67,24.33,47.01
709.71,24.31,47.07
710.75,24.33,47.09
711.80,24.31,47.13
712.84,24.33,47.13
713.88,24.33,47.12
714.93,24.31,47.14
715.97,24.30,47.17
717.02,24.31,47.16
718.06,24.30,47.20
719.10,24.31,47.23
720.15,24.28,47.22
721.19,24.31,47.23
722.23,24.30,47.26
723.28,24.33,47.27
724.32,24.33,47.28
725.36,24.33,47.31
726.41,24.33,47.37
727.45,24.34,47.35
728.50,24.36,47.38
729.54,24.34,47.40
730.58,24.34,47.41
731.63,24.36,47.45
732.67,24.36,47.48
733.71,24.37,47.51
734.76,24.36,47.51
735.80,24.37,47.52
736.84,24.37,47.55
737.89,24.37,47.60
738.93,24.36,47.63
739.98,24.37,47.61
741.02,24.37,47.67
742.06,24.40,47.66
743.11,24.38,47.67
744.15,24.37,47.72
745.19,24.36,47.74
746.24,24.40,47.75
747.28,24.36,47.82
748.32,24.38,47.80
749.37,24.38,47.83
750.41,24.40,47.84
751.46,24.37,47.87
752.50,24.40,47.92
753.54,24.38,47.92
754.59,24.38,47.92
755.63,24.41,47.99
756.67,24.38,47.99
757.72,24.37,48.02
758.76,24.38,48.04
759.80,24.40,48.04
760.85,24.40,48.08
761.89,24.41,48.14
762.94,24.40,48.15
763.98,24.38,48.16
765.02,24.40,48.19
766.07,24.38,48.21
767.11,24.40,48.24
768.15,24.40,48.24
769.20,24.43,48.26
770.24,24.41,48.29
771.28,24.43,48.35
772.33,24.44,48.39
773.37,24.43,48.35
774.42,24.43,48.43
775.46,24.43,48.42
776.50,24.40,48.48
777.55,24.43,48.45
778.59,24.41,48.49
779.63,24.41,48.51
780.68,24.43,48.55
781.72,24.43,48.59
782.76,24.41,48.58
783.81,24.41,48.62
784.85,24.41,48.66
785.89,24.41,48.70
786.94,24.41,48.67
787.98,24.40,48.73
789.03,24.43,48.77
790.07,24.44,48.79
791.11,24.43,48.79
792.16,24.44,48.81
793.20,24.44,48.85
794.24,24.44,48.87
795.29,24.44,48.93
796.33,24.46,48.96
797.37,24.47,48.95
798.42,24.47,49.03
799.46,24.44,49.02
800.51,24.46,49.06
801.55,24.47,49.07
802.59,24.50,49.09
803.64,24.46,49.13
804.68,24.46,49.16
805.72,24.46,49.24
806.77,24.46,49.19
807.81,24.50,49.24
808.85,24.47,49.27
809.90,24.48,49.29
810.94,24.48,49.33
811.98,24.48,49.37
813.03,24.47,49.42
814.07,24.48,49.41
815.12,24.48,49.48
816.16,24.46,49.49
817.20,24.50,49.53
818.25,24.46,49.50
819.29,24.48,49.59
820.33,24.47,49.61
821.38,24.50,49.63
822.42,24.50,49.65
823.46,24.46,49.69
824.51,24.50,49.71
825.55,24.47,49.73
826.60,24.50,49.80
827.64,24.50,49.80
828.68,24.48,49.83
829.73,24.47,49.85
830.77,24.50,49.86
831.81,24.50,49.90
832.86,24.50,49.94
833.90,24.48,49.97
834.95,24.50,50.01
835.99,24.50,50.00
837.03,24.50,50.07
838.08,24.50,50.07
839.12,24.51,50.10
840.16,24.51,50.13
841.21,24.51,50.17
842.25,24.53,50.18
843.29,24.51,50.23
844.34,24.53,50.29
845.38,24.53,50.28
846.43,24.53,50.31
847.47,24.51,50.34
848.51,24.54,50.39
849.56,24.51,50.41
850.60,24.53,50.45
851.64,24.54,50.45
852.69,24.51,50.49
853.73,24.53,50.53
854.77,24.56,50.55
855.82,24.57,50.61
856.86,24.56,50.61
857.90,24.56,50.66
858.95,24.54,50.68
859.99,24.57,50.76
861.04,24.54,50.75
862.08,24.57,50.76
863.12,24.58,50.82
864.17,24.57,50.84
